name,sport_id,stat,fantasy_line,pinnacle_line,over_american,under_american,hit_percent,over_under
Ivica Zubac,NBA,Rebounds,12.5,12.5,-125,-106,51.91%,over
Aaron Wiggins,NBA,Pts+Rebs+Asts,20.5,20.5,-125,-106,51.91%,over
Keldon Johnson,NBA,Points,13.5,13.5,-106,-125,51.91%,under
Alexis Lafreniere,NHL,Points,0.5,0.5,-125,-106,51.91%,over
Kyle Filipowski,NBA,Pts+Rebs+Asts,26.5,27.5,+112,-150,51.84%,under
Bradley Beal,NBA,Pts+Rebs+Asts,26.5,26.5,-106,-124,51.83%,under
Jaxson Hayes,NBA,Pts+Rebs+Asts,15.5,15.5,-124,-106,51.83%,over
Bradley Beal,NBA,Points,17.5,17.5,-106,-124,51.83%,under
Dorian Finney-Smith,NBA,Points,8.5,8.5,-107,-124,51.71%,under
Kawhi Leonard,NBA,Pts+Rebs+Asts,29.5,29.5,-123,-107,51.61%,over
Julius Randle,NBA,Assists,3.5,3.5,-123,-108,51.50%,over
J.T. Miller,NHL,Assists,0.5,0.5,-108,-123,51.50%,under
Brice Sensabaugh,NBA,Points,15.5,15.5,-108,-123,51.50%,under
Jaxson Hayes,NBA,Rebounds,5.5,5.5,-123,-108,51.50%,over
Naz Reid,NBA,Points,19.5,19.5,-108,-122,51.42%,under
Kyle Filipowski,NBA,Rebounds,9.5,9.5,-109,-121,51.22%,under
Kevin Durant,NBA,Points,25.5,25.5,-109,-121,51.22%,under
K'Andre Miller,NHL,Shots On Goal,1.5,1.5,-110,-121,51.11%,under
Pavel Dorofeyev,NHL,Points,0.5,0.5,-121,-110,51.11%,over
Isaiah Hartenstein,NBA,Double+Double,0.5,0.5,-121,-110,51.11%,over
Filip Forsberg,NHL,Shots On Goal,3.5,3.5,-110,-121,51.11%,under
Nick Richards,NBA,Pts+Rebs+Asts,19.5,19.5,-110,-120,51.02%,under
Shai Gilgeous-Alexander,NBA,Points,32.5,32.5,-120,-110,51.02%,over
Bogdan Bogdanovic,NBA,Pts+Rebs+Asts,13.5,13.5,-111,-119,50.80%,under
Trey Murphy III,NBA,Pts+Rebs+Asts,31.5,31.5,-111,-119,50.80%,under
Bradley Beal,NBA,3 Point FG,1.5,1.5,-112,-118,50.60%,under
Kawhi Leonard,NBA,Points,20.5,20.5,-118,-112,50.60%,over
Aaron Wiggins,NBA,Points,14.5,14.5,-112,-118,50.60%,under
Victor Olofsson,NHL,Shots On Goal,1.5,1.5,-118,-113,50.50%,over
Naz Reid,NBA,Pts+Rebs+Asts,30.5,30.5,-113,-117,50.40%,under
Alex Pietrangelo,NHL,Shots On Goal,1.5,1.5,-117,-113,50.40%,over
LeBron James,NBA,Points,27.5,27.5,-113,-117,50.40%,under
Luka Doncic,NBA,Pts+Rebs+Asts,45.5,45.5,-117,-113,50.40%,over
Ryan O'Reilly,NHL,Points,0.5,0.5,-117,-114,50.31%,over
Julius Randle,NBA,Points,16.5,16.5,-114,-116,50.20%,under
Shai Gilgeous-Alexander,NBA,Pts+Rebs+Asts,44.5,44.5,-114,-116,50.20%,under
Isaiah Hartenstein,NBA,Points,11.5,11.5,-116,-114,50.20%,over
Jose Alvarado,NBA,Pts+Rebs+Asts,15.5,15.5,-114,-116,50.20%,under
Anthony Edwards,NBA,Pts+Rebs+Asts,38.5,38.5,-114,-116,50.20%,under
Jeremy Sochan,NBA,Pts+Rebs+Asts,18.5,18.5,-115,-115,50.00%,under
Kelly Olynyk,NBA,Pts+Rebs+Asts,19.5,19.5,-115,-115,50.00%,under
Harrison Barnes,NBA,Points,9.5,9.5,-115,-115,50.00%,under
